back_dock_failed.ogg,"Docking error. Clear obstacles around dock and clean charging contacts."
bin_in.ogg,"Dustbin installed."
bin_out.ogg,"Dustbin removed."
binout_error10.ogg,"Dustbin removed. Clean filter."
build_map_finish.ogg,"Mapping complete. Review in app."
build_map_restart.ogg,"Positioning failed. Restarting mapping."
build_map_resume.ogg,"Continue mapping."
build_map_start.ogg,"Starting mapping."
build_map_stop.ogg,"Map creation stopped due to low battery."
carpet_found.ogg,"Entered a carpet."
carpet_left.ogg,"Got off a carpet."
charging.ogg,"Charging."
child_lock_off.ogg,"Child lock off."
child_lock_on.ogg,"Child lock on."
child_lock_on_click.ogg,"Child lock on. Press and hold Spot Clean to unlock."
clean_bin.ogg,"Empty the dustbin."
clean_failed.ogg,"Unable to reach the target. Returning to the dock."
clean_finish.ogg,"Finished cleaning. Returning to dock."
clean_partialdone.ogg,"Unable to reach a target. Finished cleaning. Returning to the dock."
dust_collection.ogg,"Emptying dustbin."
error_clean_base.ogg,"Auto-empty dock error. Reconnect power and try again."
error_dock.ogg,"Dock error. Unplug and retry."
error_internal.ogg,"Internal error. Reset the robot."
error1.ogg,"Error 1. LIDAR turret or laser blocked. Check for obstruction and retry."
error2.ogg,"Error 2. Bumper stuck. Clean it and lightly tap to release it."
error3.ogg,"Move the robot to a new location, and restart."
error4.ogg,"Error 4. Cliff sensor error. Clean cliff sensors, move robot away from drops, and restart."
error5.ogg,"Error 5. Main brush jammed. Clean main brush and bearing."
error6.ogg,"Error 6. Side brush jammed. Remove and clean side brush."
error7.ogg,"Error 7. Wheels jammed. Move the robot and restart."
error8.ogg,"Error 8. Robot trapped. Clear obstacles surrounding robot."
error9.ogg,"No dustbin or filter in the robot. Reinstall and retry."
error10.ogg,"Error 10. Filter blocked or wet. Clean, dry, and retry."
error12.ogg,"Low battery. Recharge and try again."
error13.ogg,"Error 13. Charging error. Clean charging contacts and retry."
error14.ogg,"Temperature threshold. Wait for the temperature to return to normal."
error15.ogg,"Error 15. Wall sensor dirty. Clean wall sensor."
error16.ogg,"Error 16. Robot tilted. Move to level ground and restart."
error17.ogg,"Error 17. Side brush error. Reset robot."
error18.ogg,"Error 18. Fan error. Reset robot."
error21.ogg,"Error 21. Vertical bumper pressed. Move robot and retry."
error22.ogg,"Error 22. Dock locator error. Clean and retry."
error23.ogg,"Error 23. Cannot reach dock. Clean location beacon and reset the dock."
error24.ogg,"No-go zone or invisible wall detected. Move robot from this area."
error27.ogg,"Error 27. VibraRise system jammed. Check for obstruction."
error28.ogg,"Error 28. Robot on carpet. Move robot to floor and retry."
error29.ogg,"Cannot cross carpet. Move robot across carpet and restart."
error32.ogg,"No dustbin or filter in the dock. Reinstall and retry."
error33.ogg,"Emptying completed."
error34.ogg,"Error 34. Emptying error. Check for duct blockages and empty the dustbin."
error35.ogg,"Error 35. Auto-empty dock voltage error. Could not empty."
error46.ogg,"Dustbin not installed. Reinstall dustbin with bag and retry."
findme.ogg,"Hi! I'm over here!"
finish.ogg,"Finished cleaning."
goto.ogg,"Going to target."
goto_complete.ogg,"Target reached."
goto_failed.ogg,"Could not reach target."
home.ogg,"Returning to dock."
mop_rack_in.ogg,"Mop mount installed."
mop_rack_out.ogg,"Mop mount removed."
no_dust_collection.ogg,"Frequent dustbin empty request. Try again later."
no_power.ogg,"Low battery. Returning to dock."
no_power_charging.ogg,"Low battery. Charging."
no_spot_on_dock.ogg,"Move the robot to target area for spot cleaning."
pause.ogg,"Paused."
positioning.ogg,"Positioning. Stand by."
positioning_map_changed.ogg,"Map switched."
positioning_still.ogg,"Repositioning. Please wait."
positioning_success.ogg,"Position established."
power_off.ogg,"Turning off."
power_off_rejected.ogg,"Take the robot off charging dock to turn off."
power_resume_clean.ogg,"Battery charged. Resuming cleaning."
relocate_failed.ogg,"Positioning failure. Cannot reach target."
remote.ogg,"Remote control started."
remote_complete.ogg,"Remote control stopped."
restart_clean.ogg,"Positioning failed. Starting new clean."
resume_backtodock.ogg,"Positioning failed. Continuing search for dock."
resume_clean.ogg,"Resuming."
resume_home.ogg,"Continue returning to the dock."
resume_room.ogg,"Resuming selective cleaning."
resume_spot.ogg,"Positioning failed. Continuing spot cleaning."
resume_zone.ogg,"Resuming zoned cleaning."
return_no.ogg,"Couldn't return to the starting point."
return_yes.ogg,"Could not find dock. Bring robot to the dock, and retry."
room.ogg,"Starting selective room cleaning."
room_complete.ogg,"Selective room cleaning complete. Returning to dock."
room_failed.ogg,"Selective room cleaning canceled. Cannot reach selected rooms. Returning to dock."
room_partialdone.ogg,"Selective room cleaning incomplete. Some rooms could not be reached. Returning to dock."
saving_map.ogg,"Saving map. Stand by."
spot.ogg,"Starting spot cleaning."
start.ogg,"Starting to clean."
stop_clean.ogg,"Stopped cleaning."
stop_dust_collection.ogg,"Emptying stopped."
stop_goto.ogg,"Stopped pin and go."
stop_home.ogg,"Stopped returning to the dock."
stop_room.ogg,"Stopped selective room cleaning."
stop_scheduled_clean.ogg,"Positioning failed. Scheduled cleaning cancelled."
stop_spot.ogg,"Stopped spot cleaning."
stop_zone.ogg,"Stopped zoned cleaning."
sysupd_complete.ogg,"Firmware update complete."
sysupd_failed.ogg,"Firmware update failed. Reverting to the previous version."
sysupd_notready.ogg,"Recharge to at least 20 percent and keep the robot docked for firmware upgrade."
sysupd_start.ogg,"Updating firmware. This may take 5 to 10 minutes."
sysupd_wip.ogg,"Updating. Stand by."
timed_clean.ogg,"Starting scheduled cleaning."
wait_charging.ogg,"Waiting to charge."
water_box_in.ogg,"Water tank installed."
water_box_out.ogg,"Water tank removed."
water_shortage_remind.ogg,"Water level low. Refill the tank, and clean the mop."
